mh,experimento,clr10,clr11,clr12,cyc06,cyc07,u41,u51,u61,ub1,ud1,unre1,unrf1,average
PSO,STD,21.16,34.78,42.92,9.19,18.28,23.94,23.53,19.66,30.21,32.66,29.64,14.84,25.07
PSO,STD_LOG,22.58,32.54,40.25,12.69,19.29,21.65,24.67,18.28,26.98,29.44,25.6,13.23,23.93
PSO,STD_PIECE,22.45,33.52,41.37,9.78,19.65,22.84,24.19,19.97,27.13,32.12,29.44,15.81,24.86
PSO,STD_SINE,22.97,34.22,40.95,12.58,18.97,22.75,26.47,21.2,29.77,31.99,30.04,15.16,25.59
PSO,STD_SINGER,17.94,27.07,33.38,8.6,14.78,14.6,16.41,9.22,15.54,18.15,17.34,9.35,16.86
PSO,STD_SINU,15.35,24.68,31.28,6.29,12.7,10.53,11.67,5.53,10.56,13.98,13.1,6.77,13.54
PSO,STD_TENT,22.06,33.8,41.23,10.11,19.42,22.07,26.19,17.36,30.21,32.66,29.44,16.45,25.08
PSO,STD_CIRCLE,21.16,34.78,40.11,8.44,20.83,23.09,25.62,21.66,32.55,20.3,20.97,13.87,23.62
PSO,ELIT,3.1,13.04,21.18,2.8,6.45,8.57,9.68,6.45,9.53,12.5,12.9,8.71,9.58
PSO,ELIT_LOG,2.19,10.1,18.23,1.72,5.38,7.56,8.82,5.84,7.77,9.95,11.9,6.77,8.02
PSO,ELIT_PIECE,2.32,12.06,19.78,2.58,5.82,9.34,10.82,6.3,11.73,11.56,12.3,7.42,9.34
PSO,ELIT_SINE,2.71,10.8,20.2,2.31,6.0,8.4,9.68,6.45,9.09,11.69,11.69,6.77,8.82
PSO,ELIT_SINGER,0.77,3.65,14.03,2.04,4.61,5.18,6.64,1.84,4.69,6.59,7.26,5.16,5.21
PSO,ELIT_SINU,0.65,0.7,7.43,1.45,4.64,4.58,5.22,1.84,3.23,4.57,6.25,4.52,3.76
PSO,ELIT_TENT,2.19,14.31,21.88,2.58,5.82,9.25,9.77,6.61,10.26,11.96,12.5,5.81,9.41
PSO,ELIT_CIRCLE,9.94,21.04,25.39,5.75,10.22,15.03,15.46,12.14,14.66,16.4,15.52,9.35,14.24
