experimento,clr10,clr11,clr12,cyc06,cyc07,u41,u51,u61,ub1,ud1,unre1,unrf1,total
PSO V3-STD,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
PSO V3-STD_LOG,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,4.0,4.0,2.0,20.0
PSO V3-STD_PIECE,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0
PSO V3-STD_SINE,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
PSO V3-STD_SINGER,6.0,6.0,6.0,2.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,69.0
PSO V3-STD_SINU,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,92.0
PSO V3-STD_TENT,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0
PSO V3-STD_CIRCLE,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,14.0
PSO V3-ELIT,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,8.0,6.0,104.0
PSO V3-ELIT_LOG,9.0,10.0,11.0,12.0,11.0,12.0,10.0,8.0,13.0,13.0,10.0,9.0,128.0
PSO V3-ELIT_PIECE,9.0,9.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,103.0
PSO V3-ELIT_SINE,9.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,11.0,9.0,10.0,9.0,111.0
PSO V3-ELIT_SINGER,13.0,14.0,14.0,10.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,10.0,159.0
PSO V3-ELIT_SINU,13.0,15.0,15.0,13.0,14.0,14.0,15.0,14.0,15.0,15.0,15.0,13.0,171.0
PSO V3-ELIT_TENT,9.0,9.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0,9.0,8.0,9.0,106.0
PSO V3-ELIT_CIRCLE,8.0,8.0,8.0,7.0,8.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,83.0
